Changed database context to 'Practica1'.
CountryName                                                                                                                                            Year        Month       TripCount  
------------------------------------------------------------------------------------------------------------------------------------------------------ ----------- ----------- -----------
 Bolivia Plurinational State of                                                                                                                               2022           1          31
 Bolivia Plurinational State of                                                                                                                               2022           2          19
 Bolivia Plurinational State of                                                                                                                               2022           3          34
 Bolivia Plurinational State of                                                                                                                               2022           4          28
 Bolivia Plurinational State of                                                                                                                               2022           5          34
 Bolivia Plurinational State of                                                                                                                               2022           6          37
 Bolivia Plurinational State of                                                                                                                               2022           7          33
 Bolivia Plurinational State of                                                                                                                               2022           8          34
 Bolivia Plurinational State of                                                                                                                               2022           9          35
 Bolivia Plurinational State of                                                                                                                               2022          10          37
 Bolivia Plurinational State of                                                                                                                               2022          11          40
 Bolivia Plurinational State of                                                                                                                               2022          12          42
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           1           7
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           3           4
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           4           3
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           5           3
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           7           5
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           8           2
 Bonaire Sint Eustatius and Saba                                                                                                                              2022           9           4
 Bonaire Sint Eustatius and Saba                                                                                                                              2022          10           2
 Bonaire Sint Eustatius and Saba                                                                                                                              2022          11           2
 Bonaire Sint Eustatius and Saba                                                                                                                              2022          12           1
 Congo The Democratic Republic of the                                                                                                                         2022           1          63
 Congo The Democratic Republic of the                                                                                                                         2022           2          53
 Congo The Democratic Republic of the                                                                                                                         2022           3          57
 Congo The Democratic Republic of the                                                                                                                         2022           4          61
 Congo The Democratic Republic of the                                                                                                                         2022           5          57
 Congo The Democratic Republic of the                                                                                                                         2022           6          58
 Congo The Democratic Republic of the                                                                                                                         2022           7          63
 Congo The Democratic Republic of the                                                                                                                         2022           8          53
 Congo The Democratic Republic of the                                                                                                                         2022           9          54
 Congo The Democratic Republic of the                                                                                                                         2022          10          58
 Congo The Democratic Republic of the                                                                                                                         2022          11          54
 Congo The Democratic Republic of the                                                                                                                         2022          12          47
 Iran Islamic Republic of                                                                                                                                     2022           1          61
 Iran Islamic Republic of                                                                                                                                     2022           2          67
 Iran Islamic Republic of                                                                                                                                     2022           3          81
 Iran Islamic Republic of                                                                                                                                     2022           4          66
 Iran Islamic Republic of                                                                                                                                     2022           5          64
 Iran Islamic Republic of                                                                                                                                     2022           6          72
 Iran Islamic Republic of                                                                                                                                     2022           7          65
 Iran Islamic Republic of                                                                                                                                     2022           8          63
 Iran Islamic Republic of                                                                                                                                     2022           9          67
 Iran Islamic Republic of                                                                                                                                     2022          10          77
 Iran Islamic Republic of                                                                                                                                     2022          11          64
 Iran Islamic Republic of                                                                                                                                     2022          12          69
 Korea Democratic People's Republic of                                                                                                                        2022           1           3
 Korea Democratic People's Republic of                                                                                                                        2022           2           4
 Korea Democratic People's Republic of                                                                                                                        2022           3           5
